refinery,month,detections
Thai Oil Sri Racha (TH),2025-03-01,13
Thai Oil Sri Racha (TH),2025-04-01,8
Thai Oil Sri Racha (TH),2025-05-01,1
Thai Oil Sri Racha (TH),2025-06-01,1
Thai Oil Sri Racha (TH),2025-07-01,1
Thai Oil Sri Racha (TH),2025-08-01,8
Thai Oil Sri Racha (TH),2025-09-01,1
Thai Oil Sri Racha (TH),2025-10-01,3
Thai Oil Sri Racha (TH),2025-11-01,15
Thai Oil Sri Racha (TH),2025-12-01,14
Thai Oil Sri Racha (TH),2026-01-01,37
Thai Oil Sri Racha (TH),2026-02-01,11
Thai Oil Sri Racha (TH),2026-03-01,25
Thai Oil Sri Racha (TH),2026-04-01,13
Thai Oil Sri Racha (TH),2026-05-01,2
Thai Oil Sri Racha (TH),2026-06-01,2
Dangote / OK LNG site (NG),2016-01-01,1
Dangote / OK LNG site (NG),2016-02-01,1
Dangote / OK LNG site (NG),2017-04-01,2
Dangote / OK LNG site (NG),2017-11-01,1
Dangote / OK LNG site (NG),2017-12-01,1
Dangote / OK LNG site (NG),2018-04-01,3
Dangote / OK LNG site (NG),2018-05-01,3
Dangote / OK LNG site (NG),2019-01-01,1
Dangote / OK LNG site (NG),2019-02-01,3
Dangote / OK LNG site (NG),2019-04-01,2
Dangote / OK LNG site (NG),2019-11-01,1
Dangote / OK LNG site (NG),2020-02-01,12
Dangote / OK LNG site (NG),2020-04-01,1
Dangote / OK LNG site (NG),2021-01-01,3
Dangote / OK LNG site (NG),2021-03-01,4
Dangote / OK LNG site (NG),2021-04-01,2
Dangote / OK LNG site (NG),2021-10-01,1
Dangote / OK LNG site (NG),2021-11-01,1
Dangote / OK LNG site (NG),2022-01-01,1
Dangote / OK LNG site (NG),2022-10-01,2
Dangote / OK LNG site (NG),2022-12-01,4
Dangote / OK LNG site (NG),2023-01-01,2
Dangote / OK LNG site (NG),2023-02-01,1
Dangote / OK LNG site (NG),2023-05-01,1
Dangote / OK LNG site (NG),2023-08-01,1
Dangote / OK LNG site (NG),2023-10-01,1
Dangote / OK LNG site (NG),2023-12-01,1
Dangote / OK LNG site (NG),2024-01-01,4
Dangote / OK LNG site (NG),2024-02-01,2
Dangote / OK LNG site (NG),2024-03-01,3
Dangote / OK LNG site (NG),2024-04-01,1
Dangote / OK LNG site (NG),2024-06-01,1
Dangote / OK LNG site (NG),2024-09-01,2
Dangote / OK LNG site (NG),2024-10-01,2
Dangote / OK LNG site (NG),2024-11-01,4
Dangote / OK LNG site (NG),2024-12-01,6
