,from,to,time
416,881e05b68dfffff,881e05b6e3fffff,298
417,881e05b68dfffff,881e05b6c7fffff,300
418,881e05b68dfffff,881e05b685fffff,910
419,881e05b68dfffff,881e05b6ebfffff,1832
420,881e05b691fffff,881e05b697fffff,350
421,881e05b691fffff,881e05b69bfffff,534
422,881e05b691fffff,881e05b699fffff,191
423,881e05b691fffff,881e05b69dfffff,142
424,881e05b691fffff,881e05b693fffff,188
425,881e05b691fffff,881e05b691fffff,0
426,881e05b691fffff,881e05b695fffff,218
427,881e05b693fffff,881e2e6b45fffff,173
428,881e05b693fffff,881e05b697fffff,398
429,881e05b693fffff,881e05b69bfffff,589
430,881e05b693fffff,881e2e6b69fffff,196
431,881e05b693fffff,881e05b693fffff,0
432,881e05b693fffff,881e2e6b4dfffff,522
433,881e05b693fffff,881e05b691fffff,187
434,881e05b695fffff,881e05b6b9fffff,186
435,881e05b695fffff,881e05b697fffff,227
436,881e05b695fffff,881e05b69dfffff,214
437,881e05b695fffff,881e05b6bbfffff,215
438,881e05b695fffff,881e05b683fffff,547
439,881e05b695fffff,881e05b691fffff,220
440,881e05b695fffff,881e05b695fffff,261
441,881e05b697fffff,881e05b697fffff,0
442,881e05b697fffff,881e05b6bbfffff,208
443,881e05b697fffff,881e2e6b69fffff,197
444,881e05b697fffff,881e05b693fffff,387
445,881e05b697fffff,881e2e6b6dfffff,166
446,881e05b697fffff,881e05b691fffff,349
447,881e05b697fffff,881e05b695fffff,239
448,881e05b699fffff,881e2e79a5fffff,249
449,881e05b699fffff,881e05b69bfffff,342
450,881e05b699fffff,881e05b699fffff,0
451,881e05b699fffff,881e05b69dfffff,168
452,881e05b699fffff,881e05b6d3fffff,363
453,881e05b699fffff,881e05b6d7fffff,349
454,881e05b699fffff,881e05b691fffff,189
455,881e05b69bfffff,881e2e79a5fffff,324
456,881e05b69bfffff,881e05b69bfffff,0
457,881e05b69bfffff,881e05b699fffff,364
458,881e05b69bfffff,881e05b693fffff,360
459,881e05b69bfffff,881e2e6b4dfffff,211
460,881e05b69bfffff,881e05b691fffff,346
461,881e05b69bfffff,881e2e79a7fffff,290
462,881e05b69dfffff,881e05b68bfffff,337
463,881e05b69dfffff,881e05b699fffff,157
464,881e05b69dfffff,881e05b69dfffff,0
465,881e05b69dfffff,881e05b6d7fffff,357
466,881e05b69dfffff,881e05b683fffff,630
467,881e05b69dfffff,881e05b691fffff,136
468,881e05b69dfffff,881e05b695fffff,212
469,881e05b6a1fffff,881e05b6a7fffff,664
470,881e05b6a1fffff,881e05b6a9fffff,433
471,881e05b6a1fffff,881e05b6adfffff,315
472,881e05b6a1fffff,881e05b6a5fffff,315
473,881e05b6a1fffff,881e05b6a3fffff,737
474,881e05b6a1fffff,881e05b6abfffff,411
475,881e05b6a1fffff,881e05b6a1fffff,0
476,881e05b6a3fffff,881e05b6a7fffff,870
477,881e05b6a3fffff,881e05b6b5fffff,414
478,881e05b6a3fffff,881e05b4c9fffff,315
479,881e05b6a3fffff,881e05b6bdfffff,321
480,881e05b6a3fffff,881e05b6a3fffff,0
481,881e05b6a3fffff,881e05b6abfffff,504
482,881e05b6a3fffff,881e05b6a1fffff,671
483,881e05b6a5fffff,881e05b41bfffff,193
484,881e05b6a5fffff,881e05b453fffff,572
485,881e05b6a5fffff,881e05b6a7fffff,560
486,881e05b6a5fffff,881e05b419fffff,399
487,881e05b6a5fffff,881e05b6adfffff,248
488,881e05b6a5fffff,881e05b6a5fffff,0
489,881e05b6a5fffff,881e05b6a1fffff,467
490,881e05b6a7fffff,881e05b41bfffff,549
491,881e05b6a7fffff,881e05b6a7fffff,0
492,881e05b6a7fffff,881e05b4cdfffff,682
493,881e05b6a7fffff,881e05b4c9fffff,716
494,881e05b6a7fffff,881e05b6a5fffff,568
495,881e05b6a7fffff,881e05b6a3fffff,876
496,881e05b6a7fffff,881e05b6a1fffff,748
497,881e05b6a9fffff,881e05b6a9fffff,264
498,881e05b6a9fffff,881e05b6adfffff,409
499,881e05b6a9fffff,881e05b6e3fffff,511
500,881e05b6a9fffff,881e05b6e7fffff,420
501,881e05b6a9fffff,881e05b6abfffff,505
502,881e05b6a9fffff,881e05b685fffff,900
503,881e05b6a9fffff,881e05b6a1fffff,698
504,881e05b6abfffff,881e05b6a9fffff,511
505,881e05b6abfffff,881e05b687fffff,248
506,881e05b6abfffff,881e05b6bdfffff,222
507,881e05b6abfffff,881e05b6a3fffff,510
508,881e05b6abfffff,881e05b6abfffff,0
509,881e05b6abfffff,881e05b685fffff,578
510,881e05b6abfffff,881e05b6a1fffff,625
511,881e05b6adfffff,881e05b453fffff,656
512,881e05b6adfffff,881e05b6a9fffff,438
513,881e05b6adfffff,881e05b6adfffff,283
514,881e05b6adfffff,881e05b6a5fffff,247
515,881e05b6adfffff,881e05b45bfffff,220
516,881e05b6adfffff,881e05b6e7fffff,295
517,881e05b6adfffff,881e05b6a1fffff,574
518,881e05b6b1fffff,881e05b6b9fffff,142
519,881e05b6b1fffff,881e05b6b5fffff,217
520,881e05b6b1fffff,881e05b6b1fffff,155
521,881e05b6b1fffff,881e05b6b7fffff,1287
522,881e05b6b1fffff,881e05b6bbfffff,157
523,881e05b6b1fffff,881e05b6bdfffff,154
524,881e05b6b1fffff,881e05b6b3fffff,504
525,881e05b6b3fffff,881e05b6b1fffff,650
526,881e05b6b3fffff,881e05b6b7fffff,782
527,881e05b6b3fffff,881e05b6bbfffff,561
528,881e05b6b3fffff,881e2e6b6dfffff,418
529,881e05b6b3fffff,881e2e6b65fffff,392
530,881e05b6b3fffff,881e05b6b3fffff,0
531,881e05b6b3fffff,881e05b4d9fffff,272
532,881e05b6b5fffff,881e05b6b5fffff,0
533,881e05b6b5fffff,881e05b4cbfffff,419
534,881e05b6b5fffff,881e05b6b1fffff,223
535,881e05b6b5fffff,881e05b6b7fffff,1434
536,881e05b6b5fffff,881e05b4c9fffff,183
537,881e05b6b5fffff,881e05b6bdfffff,242
538,881e05b6b5fffff,881e05b6a3fffff,415
539,881e05b6b7fffff,881e05b6b5fffff,1439
540,881e05b6b7fffff,881e05b4cbfffff,1639
541,881e05b6b7fffff,881e05b6b1fffff,1292
542,881e05b6b7fffff,881e05b6b7fffff,0
543,881e05b6b7fffff,881e05b4ddfffff,390
544,881e05b6b7fffff,881e05b6b3fffff,868
545,881e05b6b7fffff,881e05b4d9fffff,830
546,881e05b6b9fffff,881e05b6b9fffff,127
547,881e05b6b9fffff,881e05b6b1fffff,130
548,881e05b6b9fffff,881e05b687fffff,183
549,881e05b6b9fffff,881e05b6bbfffff,142
550,881e05b6b9fffff,881e05b6bdfffff,141
551,881e05b6b9fffff,881e05b683fffff,417
552,881e05b6b9fffff,881e05b695fffff,191
553,881e05b6bbfffff,881e05b6b9fffff,149
554,881e05b6bbfffff,881e05b697fffff,196
555,881e05b6bbfffff,881e05b6b1fffff,165
556,881e05b6bbfffff,881e05b6bbfffff,0
557,881e05b6bbfffff,881e2e6b6dfffff,189
558,881e05b6bbfffff,881e05b6b3fffff,393
559,881e05b6bbfffff,881e05b695fffff,213
560,881e05b6bdfffff,881e05b6b9fffff,137
561,881e05b6bdfffff,881e05b6b5fffff,244
562,881e05b6bdfffff,881e05b6b1fffff,158
563,881e05b6bdfffff,881e05b687fffff,190
564,881e05b6bdfffff,881e05b6bdfffff,194
565,881e05b6bdfffff,881e05b6a3fffff,327
566,881e05b6bdfffff,881e05b6abfffff,217
567,881e05b6c1fffff,881e05b6c5fffff,122
568,881e05b6c1fffff,881e05b6c3fffff,359
569,881e05b6c1fffff,881e05b6c9fffff,244
570,881e05b6c1fffff,881e05b6cbfffff,402
571,881e05b6c1fffff,881e05b6c1fffff,0
572,881e05b6c1fffff,881e05b6c7fffff,205
573,881e05b6c1fffff,881e05b6cdfffff,389
574,881e05b6c3fffff,881e05b689fffff,363
575,881e05b6c3fffff,881e05b6ddfffff,340
576,881e05b6c3fffff,881e05b6d5fffff,369
577,881e05b6c3fffff,881e05b6c3fffff,0
578,881e05b6c3fffff,881e05b6cbfffff,759
