date,SOY,WX_US,WX_BR,ONI
2012-02-01,1313.5,0.08689655172413795,52.57655172413793,-0.5499999999999999
2012-03-01,1403.0,40.26043010752688,53.424147465437784,-0.2833333333333333
2012-04-01,,66.058,80.45180952380952,-0.15333333333333332
2012-05-01,1340.0,73.14258064516129,67.42666666666666,-0.05333333333333332
2012-06-01,1512.75,62.45612698412698,53.26244444444444,0.17
2012-07-01,,56.37179723502304,53.28193548387097,0.39999999999999997
2012-08-01,1764.5,52.726451612903226,55.354838709677416,0.6166666666666666
2012-09-01,1601.0,44.59155555555556,57.17999999999999,0.5666666666666665
2012-10-01,1547.0,25.351182795698925,85.84516129032258,0.3733333333333333
2012-11-01,1438.75,14.626888888888887,74.62933333333334,0.22
2012-12-01,1418.75,2.6999999999999997,54.02322580645161,-0.13
