date,ADM,BG,SOY
2023-07-27,80.12737274169922,101.6604995727539,1532.0
2023-07-28,80.68775939941406,102.1412353515625,1486.75
2023-07-31,79.3521499633789,102.4334487915039,1445.75
2023-08-01,79.370849609375,102.19778442382812,1446.75
2023-08-02,79.19337463378906,106.41126251220703,1429.75
2023-08-03,79.36149597167969,107.82516479492188,1428.75
2023-08-04,79.90320587158203,108.1268081665039,1444.0
2023-08-07,81.45365142822266,109.32392883300781,1414.5
2023-08-08,80.7344741821289,107.54238891601562,1430.0
2023-08-09,80.18340301513672,106.23217010498047,1431.5
2023-08-10,80.23011016845703,105.70431518554688,1412.0
2023-08-11,79.22139739990234,105.78913879394531,1401.25
2023-08-14,79.3334732055664,106.40181732177734,1391.0
2023-08-15,77.3991928100586,105.19529724121094,1323.25
2023-08-16,77.15505981445312,104.87480163574219,1334.75
2023-08-17,77.50247955322266,105.3233413696289,1336.75
2023-08-18,77.77478790283203,106.7077865600586,1362.75
2023-08-21,77.47431182861328,107.14399719238281,1370.0
2023-08-22,75.84050750732422,105.62677764892578,1351.5
2023-08-23,76.17852020263672,106.31900787353516,1359.5
2023-08-24,75.42736053466797,106.29055786132812,1365.75
2023-08-25,75.8968505859375,106.87847900390625,1381.0
2023-08-28,75.93440246582031,107.68450164794922,1395.25
2023-08-29,76.62925720214844,107.98794555664062,1382.0
2023-08-30,75.82173156738281,108.57586669921875,1381.25
2023-08-31,74.46022033691406,108.40518188476562,1360.0
2023-09-01,74.9203109741211,109.06896209716797,1356.25
2023-09-05,74.06585693359375,107.23880767822266,1349.0
2023-09-06,72.73251342773438,105.07677459716797,1360.25
2023-09-07,73.73721313476562,106.64140319824219,1345.0
2023-09-08,74.00012969970703,106.56554412841797,1349.5
2023-09-11,73.93440246582031,108.92671966552734,1352.5
2023-09-12,74.8357925415039,108.49053192138672,1331.75
2023-09-13,74.77947235107422,107.29572296142578,1336.0
2023-09-14,75.72783660888672,109.33448028564453,1343.75
2023-09-15,74.50717163085938,106.5940170288086,1340.25
2023-09-18,74.35693359375,108.03536224365234,1316.75
2023-09-19,74.27242279052734,107.03020477294922,1315.5
2023-09-20,74.53534698486328,106.76468658447266,1320.0
2023-09-21,74.06585693359375,107.37158203125,1293.75
2023-09-22,72.28181457519531,104.68800354003906,1296.25
2023-09-25,72.58229064941406,104.96299743652344,1297.75
2023-09-26,71.42735290527344,103.32249450683594,1302.75
2023-09-27,71.69966125488281,103.90094757080078,1303.25
2023-09-28,71.39917755126953,104.88713836669922,1300.5
2023-09-29,70.8170166015625,102.64923858642578,1275.0
2023-10-02,69.67147064208984,101.16995239257812,1277.0
2023-10-03,69.3052749633789,100.25962829589844,1272.75
2023-10-04,68.98603820800781,99.11221313476562,1273.0
2023-10-05,68.66678619384766,98.4674072265625,1280.75
2023-10-06,68.41325378417969,97.78466033935547,1266.0
2023-10-09,69.38980102539062,100.03203582763672,1264.25
2023-10-10,69.62451934814453,99.08377075195312,1271.5
2023-10-11,69.20199584960938,96.71312713623047,1252.5
2023-10-12,68.32875061035156,96.03986358642578,1290.0
2023-10-13,68.84518432617188,96.88380432128906,1280.25
2023-10-16,69.97195434570312,97.98379516601562,1286.25
2023-10-17,70.61045837402344,99.68118286132812,1296.75
2023-10-18,69.97195434570312,99.86135864257812,1311.0
2023-10-19,69.33344268798828,98.28723907470703,1315.5
2023-10-20,68.40386962890625,96.34329986572266,1302.25
2023-10-23,67.98133850097656,96.19157409667969,1286.75
2023-10-24,65.23017120361328,95.50883483886719,1295.25
2023-10-25,66.7137451171875,96.89330291748047,1288.25
2023-10-26,67.46491241455078,100.87599182128906,1279.5
2023-10-27,65.76536560058594,99.96565246582031,1297.25
2023-10-30,67.06114959716797,100.95185089111328,1282.75
2023-10-31,67.20198822021484,100.49668884277344,1287.0
2023-11-01,67.01419830322266,100.57254028320312,1291.25
2023-11-02,68.0001220703125,100.01306915283203,1304.0
2023-11-03,68.46022033691406,100.57254028320312,1327.5
2023-11-06,68.1315689086914,99.96565246582031,1340.5
2023-11-07,67.70903015136719,99.20706176757812,1348.75
2023-11-08,67.63392639160156,97.44328308105469,1349.0
2023-11-09,67.75598907470703,98.495849609375,1327.75
2023-11-10,68.07523345947266,99.12171173095703,1333.5
2023-11-13,68.582275390625,98.69499969482422,1368.0
2023-11-14,69.78216552734375,100.7052993774414,1368.75
